Row_Number,Gender,Location,Time,Race,Time_Spent_Homeless,Method_Found,Eligible,Preffered_Acommodation,Accepted_Acommodation
187,Male,Balsall Heath,10AM,Pakistani,Less than a month,Phone,0,1,0
188,Female,Perry Barr,12PM,Indian,More than 1 year,Referral,1,1,1
189,Female,Sparkhill,10AM,Indian,4-6 Months,Online,1,0,1
190,Male,Mosely,10AM,White,4-6 Months,Phone,1,0,1
191,Male,Sparkbrook,2PM,European,Less than a month,Online,1,1,1
192,Female,Kings Norton,12PM,European,7-12 months,Referral,1,0,1
193,Male,Bordesley Green,2PM,Black,Less than a month,Referral,1,0,1
194,Male,Erdington,4PM,Bangladeshi,7-12 months,Referral,1,1,1
195,Female,Aston,4PM,Other,4-6 Months,Friend,1,0,0
196,Female,Bordesley Green,10AM,Other,1-3 Months,Online,1,0,1
197,Male,Aston,2PM,European,7-12 months,Referral,1,0,0
198,Male,Perry Barr,12PM,Indian,More than 1 year,Friend,1,1,1
199,Male,Small Heath,10AM,Bangladeshi,Less than a month,Themselves,1,0,1
200,Female,Stechford,4PM,White,Less than a month,Online,1,0,0
201,Male,Sparkbrook,12PM,European,Less than a month,Phone,0,1,0
202,Female,Mosely,12PM,White,7-12 months,Referral,0,0,0
203,Female,Mosely,2PM,European,4-6 Months,Phone,1,1,1
204,Male,Stechford,12PM,Black,Less than a month,Online,0,0,0
205,Male,Mosely,12PM,White,1-3 Months,Online,0,1,1
206,Female,Sparkhill,4PM,Pakistani,1-3 Months,Online,1,1,1
207,Female,Other,12PM,Pakistani,1-3 Months,Phone,1,1,1
208,Female,Perry Barr,2PM,Other,Less than a month,Phone,1,1,1
209,Male,Stechford,2PM,Black,More than 1 year,Themselves,1,1,1
210,Male,Other,10AM,White,Less than a month,Referral,1,0,1
211,Male,Balsall Heath,4PM,Black,4-6 Months,Other,1,1,1
212,Male,Sparkhill,2PM,Bangladeshi,4-6 Months,Online,1,0,1
213,Female,Balsall Heath,4PM,White,7-12 months,Friend,1,1,1
214,Female,Sparkbrook,2PM,White,4-6 Months,Referral,1,0,1
215,Male,Yardley,4PM,Indian,1-3 Months,Online,1,0,1
216,Male,Bordesley Green,12PM,White,4-6 Months,Friend,1,1,1
217,Female,Stechford,4PM,Pakistani,1-3 Months,Phone,0,1,0
218,Male,Sparkhill,10AM,Bangladeshi,1-3 Months,Phone,1,0,1
219,Female,Mosely,4PM,Pakistani,Less than a month,Friend,1,1,1
220,Male,Acocks Green,4PM,Indian,7-12 months,Friend,1,1,1
221,Female,Erdington,2PM,Black,4-6 Months,Referral,1,0,1
222,Male,Acocks Green,10AM,Indian,7-12 months,Online,1,0,1
223,Male,Sparkhill,2PM,White,Less than a month,Themselves,1,1,1
224,Female,Tyseley,4PM,Other,Less than a month,Friend,0,0,0
225,Male,Sutton Coldfield,4PM,Indian,Less than a month,Other,1,1,1
226,Female,Balsall Heath,10AM,White,1-3 Months,Referral,1,1,1
227,Male,Aston,4PM,White,Less than a month,Themselves,1,1,1
228,Female,Digbeth,10AM,European,1-3 Months,Other,1,0,1
229,Male,Balsall Heath,2PM,Pakistani,1-3 Months,Referral,1,0,0
230,Male,Tyseley,4PM,European,Less than a month,Friend,1,0,1
231,Female,Small Heath,2PM,Indian,1-3 Months,Referral,1,0,0
232,Female,Stechford,12PM,Other,More than 1 year,Online,1,1,1
233,Male,Bordesley Green,12PM,White,More than 1 year,Online,1,1,1
234,Female,Sparkbrook,10AM,European,4-6 Months,Friend,1,0,1
235,Male,Balsall Heath,10AM,Indian,4-6 Months,Friend,1,1,1
236,Male,Erdington,12PM,Other,1-3 Months,Themselves,1,1,1
237,Female,Small Heath,4PM,White,Less than a month,Friend,1,0,1
238,Male,Aston,10AM,Pakistani,Less than a month,Themselves,0,0,0
239,Male,Perry Barr,10AM,Other,7-12 months,Friend,1,1,1
240,Female,Small Heath,4PM,Bangladeshi,4-6 Months,Themselves,1,0,1
241,Male,Yardley,2PM,European,1-3 Months,Phone,1,1,1
242,Male,Balsall Heath,10AM,European,7-12 months,Online,1,0,1
243,Male,Stechford,12PM,European,4-6 Months,Other,1,1,1
244,Female,Erdington,2PM,Black,Less than a month,Themselves,1,0,1
245,Female,Balsall Heath,2PM,White,1-3 Months,Referral,1,0,1
246,Male,Erdington,12PM,Pakistani,7-12 months,Phone,1,1,1
247,Male,Balsall Heath,2PM,Other,1-3 Months,Phone,1,0,1
248,Male,Sparkhill,2PM,European,More than 1 year,Friend,1,0,0
249,Male,Kings Norton,12PM,Black,7-12 months,Friend,1,1,1
250,Male,Erdington,12PM,European,7-12 months,Referral,1,0,0
251,Female,Perry Barr,10AM,White,1-3 Months,Online,1,1,1
252,Male,Balsall Heath,10AM,Pakistani,1-3 Months,Referral,1,1,0
253,Male,Kings Norton,12PM,European,4-6 Months,Referral,0,1,0
254,Female,Sparkbrook,12PM,Bangladeshi,4-6 Months,Referral,1,0,1
255,Male,Stechford,10AM,White,More than 1 year,Friend,1,1,1
256,Female,Sutton Coldfield,12PM,White,4-6 Months,Other,1,1,1
257,Male,Stechford,10AM,Bangladeshi,7-12 months,Online,1,0,1
258,Female,Acocks Green,2PM,White,More than 1 year,Other,1,0,0
259,Male,Sparkbrook,4PM,European,Less than a month,Referral,1,0,0
260,Female,Perry Barr,12PM,European,7-12 months,Online,1,0,1
261,Male,Sparkbrook,2PM,Other,Less than a month,Referral,1,1,1
262,Female,Sparkbrook,12PM,Bangladeshi,1-3 Months,Online,1,1,1
263,Male,Sparkbrook,2PM,Pakistani,1-3 Months,Other,1,1,0
264,Female,Sparkhill,10AM,Bangladeshi,7-12 months,Themselves,1,1,1
265,Male,Yardley,4PM,Indian,Less than a month,Online,0,0,0
266,Female,Bordesley Green,12PM,European,1-3 Months,Phone,1,1,1
267,Male,Erdington,4PM,White,1-3 Months,Online,0,0,0
268,Female,Acocks Green,4PM,Indian,7-12 months,Friend,1,1,1
269,Male,Balsall Heath,10AM,White,Less than a month,Online,0,1,0
270,Female,Stechford,10AM,White,7-12 months,Phone,1,1,1
271,Male,Small Heath,2PM,Pakistani,4-6 Months,Online,1,1,1
272,Female,Stechford,12PM,European,1-3 Months,Other,1,0,0
273,Female,Yardley,2PM,White,Less than a month,Referral,1,0,1
274,Female,Yardley,12PM,Other,Less than a month,Other,0,0,0
275,Male,Sparkhill,12PM,White,Less than a month,Referral,1,1,1
276,Male,Balsall Heath,2PM,White,Less than a month,Other,1,0,1
277,Male,Sparkbrook,10AM,Black,7-12 months,Referral,0,1,0
278,Male,Sparkbrook,2PM,Bangladeshi,4-6 Months,Phone,1,0,1
279,Female,Balsall Heath,2PM,European,More than 1 year,Friend,1,1,1
280,Female,Sparkbrook,10AM,Black,4-6 Months,Online,0,0,0
281,Male,Erdington,2PM,European,More than 1 year,Friend,1,1,1
282,Female,Small Heath,12PM,White,Less than a month,Referral,1,0,1
283,Male,Bordesley Green,2PM,Indian,7-12 months,Phone,1,0,1
284,Female,Bordesley Green,10AM,White,Less than a month,Referral,0,0,0
285,Female,Kings Norton,2PM,Pakistani,Less than a month,Themselves,1,0,1
286,Female,Sutton Coldfield,2PM,White,1-3 Months,Phone,1,1,1
287,Male,Kings Norton,10AM,European,1-3 Months,Themselves,1,0,1
288,Female,Tyseley,2PM,Other,7-12 months,Referral,1,0,1
289,Female,Tyseley,2PM,European,More than 1 year,Phone,1,0,1
290,Female,Small Heath,10AM,White,More than 1 year,Themselves,1,1,1
291,Male,Balsall Heath,12PM,Indian,Less than a month,Themselves,1,1,1
292,Male,Balsall Heath,2PM,White,Less than a month,Referral,1,1,1
293,Female,Kings Norton,2PM,Bangladeshi,Less than a month,Friend,0,1,0
294,Male,Yardley,10AM,Indian,4-6 Months,Online,1,0,1
295,Female,Sparkbrook,10AM,Black,4-6 Months,Friend,1,0,0
296,Female,Aston,4PM,White,1-3 Months,Phone,1,1,1
297,Male,Sparkbrook,12PM,Bangladeshi,4-6 Months,Friend,1,0,1
298,Male,Tyseley,12PM,Other,Less than a month,Friend,1,1,1
299,Male,Acocks Green,12PM,Pakistani,Less than a month,Referral,0,0,0
300,Female,Sparkbrook,4PM,Black,7-12 months,Referral,1,1,1
301,Female,Kings Norton,4PM,European,1-3 Months,Other,1,1,1
302,Male,Tyseley,4PM,European,Less than a month,Referral,1,0,0
303,Male,Sparkhill,10AM,Indian,1-3 Months,Referral,1,1,1
304,Male,Sparkbrook,4PM,Black,7-12 months,Online,1,1,1
305,Female,Perry Barr,4PM,European,1-3 Months,Friend,0,0,0
306,Female,Sparkhill,4PM,Other,1-3 Months,Online,1,0,1
307,Female,Other,12PM,Black,4-6 Months,Friend,1,1,1
308,Female,Sparkhill,2PM,White,7-12 months,Phone,1,0,1
309,Male,Small Heath,12PM,White,1-3 Months,Phone,1,1,1
310,Female,Other,12PM,Black,More than 1 year,Referral,1,0,1
311,Female,Perry Barr,4PM,Indian,Less than a month,Phone,1,1,1
312,Male,Balsall Heath,2PM,Pakistani,Less than a month,Online,1,1,1
313,Male,Acocks Green,2PM,Other,1-3 Months,Phone,1,1,1
314,Female,Bordesley Green,2PM,Bangladeshi,1-3 Months,Phone,1,0,1
315,Male,Stechford,2PM,Indian,1-3 Months,Other,1,0,0
316,Male,Acocks Green,4PM,White,1-3 Months,Friend,0,1,0
317,Male,Other,10AM,White,4-6 Months,Online,1,1,1
318,Male,Small Heath,10AM,Indian,Less than a month,Themselves,1,0,0
319,Male,Small Heath,10AM,White,4-6 Months,Other,1,0,1
320,Female,Sparkbrook,2PM,White,Less than a month,Referral,1,1,1
321,Female,Erdington,12PM,Bangladeshi,7-12 months,Friend,1,0,1
322,Female,Small Heath,12PM,Indian,More than 1 year,Friend,1,0,1
323,Male,Small Heath,4PM,Pakistani,Less than a month,Phone,1,1,1
324,Male,Acocks Green,12PM,Other,Less than a month,Other,0,0,0
325,Female,Kings Norton,10AM,Bangladeshi,Less than a month,Themselves,1,1,1
326,Female,Kings Norton,2PM,Black,Less than a month,Referral,1,0,1
327,Male,Yardley,10AM,Other,4-6 Months,Referral,0,1,0
328,Male,Sparkbrook,4PM,Pakistani,4-6 Months,Phone,1,1,1
329,Male,Kings Norton,10AM,Pakistani,1-3 Months,Friend,1,1,1
330,Male,Acocks Green,2PM,Bangladeshi,Less than a month,Referral,1,1,0
331,Male,Sparkbrook,2PM,Black,Less than a month,Referral,0,0,0
332,Male,Sparkhill,2PM,Indian,Less than a month,Referral,1,1,1
333,Male,Bordesley Green,4PM,Black,1-3 Months,Friend,1,0,1
334,Female,Small Heath,2PM,Indian,More than 1 year,Other,1,0,0
335,Male,Kings Norton,4PM,Other,1-3 Months,Themselves,0,0,0
336,Female,Yardley,10AM,Black,1-3 Months,Friend,1,0,1
